,Title,Topic Label,Accetpance,Difficulty,Frequency,Accepted,Submissions,Premium
229,229. Majority Element II,"['Array', 'Hash Table', 'Sorting', '1+']",45.00%,Medium,50.72%;,385.9K,858.3K,Y
230,230. Kth Smallest Element in a BST,"['Tree', 'Depth-First Search', '2+']",70.10%,Medium,54.3127%;,1.1M,1.5M,Y
231,231. Power of Two,"['Math', 'Bit Manipulation', 'Recursion']",46.00%,Easy,71.0683%;,855.7K,1.9M,Y
232,232. Implement Queue using Stacks,"['Stack', 'Design', 'Queue']",63.10%,Easy,59.6488%;,633.2K,1M,Y
233,233. Number of Digit One,"['Math', 'Dynamic Programming', 'Recursion']",34.00%,Hard,58.364%;,75.1K,221.2K,Y
234,234. Palindrome Linked List,"['Linked List', 'Two Pointers', 'Stack', '1+']",50.10%,Easy,88.1958%;,1.4M,2.8M,Y
235,235. Lowest Common Ancestor of a Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",61.40%,Medium,47.4298%;,1.1M,1.8M,Y
236,236. Lowest Common Ancestor of a Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",58.70%,Medium,69.9737%;,1.3M,2.2M,Y
237,237. Delete Node in a Linked List,['Linked List'],75.90%,Medium,65.6653%;,1M,1.4M,Y
238,238. Product of Array Except Self,"['Array', 'Prefix Sum']",65.00%,Medium,77.2652%;,1.6M,2.4M,Y
239,239. Sliding Window Maximum,"['Array', 'Queue', 'Sliding Window', '2+']",46.30%,Hard,82.4741%;,735.1K,1.6M,Y
240,240. Search a 2D Matrix II,"['Array', 'Binary Search', '2+']",51.00%,Medium,62.3271%;,771.7K,1.5M,Y
241,241. Different Ways to Add Parentheses,"['Math', 'String', 'Dynamic Programming', '2+']",63.80%,Medium,58.6391%;,190.9K,299.1K,Y
242,242. Valid Anagram,"['Hash Table', 'String', 'Sorting']",63.00%,Easy,71.0715%;,2M,3.2M,Y
243,243. Shortest Word Distance,"['Array', 'String']",65.00%,Easy,34.7241%;,199.2K,306.5K,Y
244,244. Shortest Word Distance II,"['Array', 'Hash Table', 'Two Pointers', '2+']",60.80%,Medium,32.353%;,146.2K,240.3K,Y
245,245. Shortest Word Distance III,"['Array', 'String']",57.60%,Medium,22.8064%;,74K,128.5K,Y
246,246. Strobogrammatic Number,"['Hash Table', 'Two Pointers', 'String']",47.70%,Easy,40.8403%;,158.4K,331.8K,Y
247,247. Strobogrammatic Number II,"['Array', 'String', 'Recursion']",51.50%,Medium,41.9109%;,128.3K,248.9K,Y
248,248. Strobogrammatic Number III,"['Array', 'String', 'Recursion']",41.90%,Hard,25.795%;,35.3K,84.3K,Y
249,249. Group Shifted Strings,"['Array', 'Hash Table', 'String']",64.30%,Medium,45.7869%;,189.5K,294.6K,Y
250,250. Count Univalue Subtrees,"['Tree', 'Depth-First Search', 'Binary Tree']",55.40%,Medium,27.4362%;,137.1K,247.4K,Y
251,251. Flatten 2D Vector,"['Array', 'Two Pointers', 'Design', '1+']",49.10%,Medium,41.1983%;,118.5K,241.3K,Y
252,252. Meeting Rooms,"['Array', 'Sorting']",57.20%,Easy,44.4959%;,334.7K,584.8K,Y
253,253. Meeting Rooms II,"['Array', 'Two Pointers', 'Greedy', '3+']",50.60%,Medium,90.5815%;,767.4K,1.5M,Y
254,254. Factor Combinations,"['Array', 'Backtracking']",49.10%,Medium,46.8304%;,119.5K,243.5K,Y
255,255. Verify Preorder Sequence in Binary Search Tree,"['Stack', 'Tree', 'Binary Search Tree', '3+']",48.20%,Medium,15.2639%;,70.1K,145.4K,Y
256,256. Paint House,"['Array', 'Dynamic Programming']",61.00%,Medium,40.8999%;,184.2K,301.9K,Y
257,257. Binary Tree Paths,"['String', 'Backtracking', 'Tree', '2+']",61.30%,Easy,40.9746%;,604.2K,985.5K,Y
258,258. Add Digits,"['Math', 'Simulation', 'Number Theory']",63.90%,Easy,51.3058%;,551.4K,862.8K,Y
259,259. 3Sum Smaller,"['Array', 'Two Pointers', 'Binary Search', '1+']",50.70%,Medium,27.0797%;,133.4K,263.3K,Y
260,260. Single Number III,"['Array', 'Bit Manipulation']",67.60%,Medium,34.2263%;,292.1K,431.8K,Y
261,261. Graph Valid Tree,"['Depth-First Search', 'Breadth-First Search', '2+']",47.10%,Medium,47.7118%;,333.1K,707.4K,Y
262,262. Trips and Users,['Database'],37.50%,Hard,30.4185%;,143.1K,381.5K,Y
263,263. Ugly Number,['Math'],42.30%,Easy,63.8564%;,415.7K,982.4K,Y
264,264. Ugly Number II,"['Hash Table', 'Math', '2+']",46.20%,Medium,59.6048%;,301.5K,652.9K,Y
265,265. Paint House II,"['Array', 'Dynamic Programming']",52.90%,Hard,16.4607%;,108.4K,205K,Y
266,266. Palindrome Permutation,"['Hash Table', 'String', 'Bit Manipulation']",66.00%,Easy,30.7804%;,179.8K,272.4K,Y
267,267. Palindrome Permutation II,"['Hash Table', 'String', 'Backtracking']",40.70%,Medium,39.6173%;,60.9K,149.7K,Y
268,268. Missing Number,"['Array', 'Hash Table', 'Math', '3+']",62.40%,Easy,66.4305%;,1.4M,2.3M,Y
269,269. Alien Dictionary,"['Array', 'String', 'Depth-First Search', '3+']",35.30%,Hard,81.4249%;,332.6K,941.7K,Y
270,270. Closest Binary Search Tree Value,"['Binary Search', 'Tree', 'Depth-First Search', '2+']",54.70%,Easy,13.344%;,282K,515.3K,Y
271,271. Encode and Decode Strings,"['Array', 'String', 'Design']",42.70%,Medium,33.5189%;,138.5K,324.3K,Y
272,272. Closest Binary Search Tree Value II,"['Two Pointers', 'Stack', 'Tree', '4+']",58.40%,Hard,20.2551%;,110K,188.4K,Y
273,273. Integer to English Words,"['Math', 'String', 'Recursion']",30.00%,Hard,86.7616%;,339.4K,1.1M,Y
274,274. H-Index,"['Array', 'Sorting', 'Counting Sort']",38.30%,Medium,59.8155%;,257.9K,673.1K,Y
275,275. H-Index II,"['Array', 'Binary Search']",37.50%,Medium,15.4217%;,173.7K,463K,Y
276,276. Paint Fence,['Dynamic Programming'],44.50%,Medium,20.5392%;,96.9K,218K,Y
277,277. Find the Celebrity,"['Two Pointers', 'Greedy', 'Graph', '1+']",46.60%,Medium,42.1061%;,245.8K,527.2K,Y
278,278. First Bad Version,"['Binary Search', 'Interactive']",43.30%,Easy,66.1972%;,1.4M,3.3M,Y
279,279. Perfect Squares,"['Math', 'Dynamic Programming', '1+']",52.60%,Medium,77.8884%;,650.8K,1.2M,Y
280,280. Wiggle Sort,"['Array', 'Greedy', 'Sorting']",67.00%,Medium,35.9968%;,128.3K,191.4K,Y
281,281. Zigzag Iterator,"['Array', 'Design', 'Queue', '1+']",62.70%,Medium,22.1788%;,86.4K,137.7K,Y
282,282. Expression Add Operators,"['Math', 'String', 'Backtracking']",39.20%,Hard,49.0336%;,197.6K,504.1K,Y
283,283. Move Zeroes,"['Array', 'Two Pointers']",61.40%,Easy,74.2405%;,2.1M,3.5M,Y
284,284. Peeking Iterator,"['Array', 'Design', 'Iterator']",58.60%,Medium,32.0943%;,205.4K,350.4K,Y
285,285. Inorder Successor in BST,"['Tree', 'Depth-First Search', '2+']",48.70%,Medium,35.8925%;,300.2K,616.3K,Y
286,286. Walls and Gates,"['Array', 'Breadth-First Search', 'Matrix']",60.40%,Medium,55.097%;,266.1K,440.4K,Y
287,287. Find the Duplicate Number,"['Array', 'Two Pointers', 'Binary Search', '1+']",59.10%,Medium,69.0891%;,1.1M,1.9M,Y
288,288. Unique Word Abbreviation,"['Array', 'Hash Table', 'String', '1+']",25.60%,Medium,0%;,69.1K,270.3K,Y
289,289. Game of Life,"['Array', 'Matrix', 'Simulation']",67.10%,Medium,67.4649%;,386.5K,575.8K,Y
290,290. Word Pattern,"['Hash Table', 'String']",41.70%,Easy,67.6138%;,510.5K,1.2M,Y
291,291. Word Pattern II,"['Hash Table', 'String', 'Backtracking']",47.10%,Medium,26.6969%;,67K,142.3K,Y
292,292. Nim Game,"['Math', 'Brainteaser', 'Game Theory']",56.10%,Easy,27.2155%;,316.2K,564K,Y
293,293. Flip Game,['String'],63.20%,Easy,0%;,63.5K,100.5K,Y
294,294. Flip Game II,"['Math', 'Dynamic Programming', '3+']",51.90%,Medium,21.4467%;,67.4K,129.9K,Y
295,295. Find Median from Data Stream,"['Two Pointers', 'Design', 'Sorting', '2+']",51.40%,Hard,79.0773%;,617K,1.2M,Y
296,296. Best Meeting Point,"['Array', 'Math', 'Sorting', '1+']",60.10%,Hard,56.8247%;,67K,111.5K,Y
297,297. Serialize and Deserialize Binary Tree,"['String', 'Tree', 'Depth-First Search', '3+']",55.40%,Hard,60.628%;,728.4K,1.3M,Y
298,298. Binary Tree Longest Consecutive Sequence,"['Tree', 'Depth-First Search', 'Binary Tree']",52.70%,Medium,10.1499%;,137.1K,260K,Y
299,299. Bulls and Cows,"['Hash Table', 'String', 'Counting']",49.40%,Medium,41.109%;,337.1K,683.1K,Y
300,300. Longest Increasing Subsequence,"['Array', 'Binary Search', 'Dynamic Programming']",52.10%,Medium,66.9241%;,1.2M,2.2M,Y
301,301. Remove Invalid Parentheses,"['String', 'Backtracking', 'Breadth-First Search']",47.20%,Hard,47.4235%;,379K,803.3K,Y
302,302. Smallest Rectangle Enclosing Black Pixels,"['Array', 'Binary Search', '3+']",58.40%,Hard,15.9149%;,47.3K,80.8K,Y
303,303. Range Sum Query - Immutable,"['Array', 'Design', 'Prefix Sum']",59.40%,Easy,34.5242%;,426K,717.7K,Y
304,304. Range Sum Query 2D - Immutable,"['Array', 'Design', 'Matrix', '1+']",52.70%,Medium,39.7511%;,316.7K,600.4K,Y
305,305. Number of Islands II,"['Array', 'Union Find']",39.60%,Hard,38.4091%;,129.8K,327.6K,Y
306,306. Additive Number,"['String', 'Backtracking']",31.10%,Medium,41.7032%;,78.1K,251.6K,Y
307,307. Range Sum Query - Mutable,"['Array', 'Design', 'Binary Indexed Tree', '1+']",40.70%,Medium,29.3059%;,243.6K,598.7K,Y
308,308. Range Sum Query 2D - Mutable,"['Array', 'Design', 'Binary Indexed Tree', '2+']",42.80%,Hard,53.9226%;,71.7K,167.6K,Y
309,309. Best Time to Buy and Sell Stock with Cooldown,"['Array', 'Dynamic Programming']",56.20%,Medium,60.8479%;,394.1K,701.6K,Y
310,310. Minimum Height Trees,"['Depth-First Search', 'Breadth-First Search', '2+']",38.50%,Medium,45.4235%;,242.5K,629.3K,Y
311,311. Sparse Matrix Multiplication,"['Array', 'Hash Table', 'Matrix']",67.30%,Medium,64.6158%;,170.3K,253K,Y
312,312. Burst Balloons,"['Array', 'Dynamic Programming']",57.00%,Hard,65.6197%;,222.9K,391.3K,Y
313,313. Super Ugly Number,"['Array', 'Math', 'Dynamic Programming']",45.50%,Medium,27.9407%;,115.8K,254.5K,Y
314,314. Binary Tree Vertical Order Traversal,"['Hash Table', 'Tree', 'Depth-First Search', '2+']",52.30%,Medium,70.4668%;,318.3K,608.8K,Y
315,315. Count of Smaller Numbers After Self,"['Array', 'Binary Search', '5+']",42.60%,Hard,45.9279%;,289K,678.6K,Y
316,316. Remove Duplicate Letters,"['String', 'Stack', 'Greedy', '1+']",44.90%,Medium,63.665%;,224.8K,500.2K,Y
317,317. Shortest Distance from All Buildings,"['Array', 'Breadth-First Search', 'Matrix']",42.60%,Hard,54.8355%;,152.8K,358.4K,Y
318,318. Maximum Product of Word Lengths,"['Array', 'String', 'Bit Manipulation']",59.90%,Medium,50.3551%;,200.3K,334.5K,Y
319,319. Bulb Switcher,"['Math', 'Brainteaser']",48.30%,Medium,44.9373%;,129.5K,268.1K,Y
320,320. Generalized Abbreviation,"['String', 'Backtracking', 'Bit Manipulation']",57.60%,Medium,19.1985%;,65.1K,112.9K,Y
321,321. Create Maximum Number,"['Stack', 'Greedy', 'Monotonic Stack']",29.00%,Hard,25.2112%;,54K,186K,Y
322,322. Coin Change,"['Array', 'Dynamic Programming', '1+']",42.00%,Medium,81.6819%;,1.3M,3.2M,Y
323,323. Number of Connected Components in an Undirected Graph,"['Depth-First Search', 'Breadth-First Search', '2+']",62.20%,Medium,45.9724%;,327.1K,525.7K,Y
324,324. Wiggle Sort II,"['Array', 'Divide and Conquer', 'Sorting', '1+']",33.30%,Medium,35.7071%;,139.5K,419.6K,Y
325,325. Maximum Size Subarray Sum Equals k,"['Array', 'Hash Table', 'Prefix Sum']",49.20%,Medium,20.2551%;,171.2K,347.7K,Y
326,326. Power of Three,"['Math', 'Recursion']",45.50%,Easy,38.4002%;,663.7K,1.5M,Y
327,327. Count of Range Sum,"['Array', 'Binary Search', '5+']",35.90%,Hard,51.6036%;,67.8K,188.8K,Y
328,328. Odd Even Linked List,['Linked List'],61.20%,Medium,77.1444%;,704.4K,1.2M,Y
329,329. Longest Increasing Path in a Matrix,"['Array', 'Dynamic Programming', '6+']",52.40%,Hard,64.0845%;,436.1K,831.9K,Y
330,330. Patching Array,"['Array', 'Greedy']",40.30%,Hard,47.3288%;,61K,151.7K,Y
331,331. Verify Preorder Serialization of a Binary Tree,"['String', 'Stack', 'Tree', '1+']",44.60%,Medium,26.0135%;,127.5K,286.1K,Y
332,332. Reconstruct Itinerary,"['Depth-First Search', 'Graph', 'Eulerian Circuit']",41.20%,Hard,66.4546%;,324.2K,786.3K,Y
333,333. Largest BST Subtree,"['Dynamic Programming', 'Tree', '3+']",42.80%,Medium,30.9402%;,95.5K,223.3K,Y
334,334. Increasing Triplet Subsequence,"['Array', 'Greedy']",42.70%,Medium,77.6392%;,379.4K,888.2K,Y
335,335. Self Crossing,"['Array', 'Math', 'Geometry']",29.40%,Hard,44.7044%;,30K,102K,Y
336,336. Palindrome Pairs,"['Array', 'Hash Table', 'String', '1+']",35.00%,Hard,74.1221%;,191.3K,546.3K,Y
337,337. House Robber III,"['Dynamic Programming', 'Tree', '2+']",53.90%,Medium,43.488%;,329.8K,611.6K,Y
338,338. Counting Bits,"['Dynamic Programming', 'Bit Manipulation']",75.70%,Easy,39.0655%;,745K,984.2K,Y
339,339. Nested List Weight Sum,"['Depth-First Search', 'Breadth-First Search']",82.30%,Medium,65.5205%;,223K,271.1K,Y
340,340. Longest Substring with At Most K Distinct Characters,"['Hash Table', 'String', 'Sliding Window']",48.00%,Medium,57.139%;,307.9K,641.7K,Y
341,341. Flatten Nested List Iterator,"['Stack', 'Tree', 'Depth-First Search', '3+']",61.80%,Medium,61.1221%;,358.9K,580.8K,Y
342,342. Power of Four,"['Math', 'Bit Manipulation', 'Recursion']",46.10%,Easy,25.57%;,446.2K,968.1K,Y
343,343. Integer Break,"['Math', 'Dynamic Programming']",56.00%,Medium,29.9963%;,226.2K,404.2K,Y
344,344. Reverse String,"['Two Pointers', 'String']",76.70%,Easy,62.4022%;,2M,2.6M,Y
345,345. Reverse Vowels of a String,"['Two Pointers', 'String']",50.10%,Easy,73.7278%;,487K,972.7K,Y
346,346. Moving Average from Data Stream,"['Array', 'Design', 'Queue', '1+']",77.10%,Easy,61.0741%;,305.3K,395.9K,Y
347,347. Top K Frequent Elements,"['Array', 'Hash Table', 'Divide and Conquer', '5+']",64.30%,Medium,70.216%;,1.3M,2.1M,Y
348,348. Design Tic-Tac-Toe,"['Array', 'Hash Table', 'Design', '1+']",57.60%,Medium,53.1781%;,208.7K,362.6K,Y
349,349. Intersection of Two Arrays,"['Array', 'Hash Table', 'Two Pointers', '2+']",70.90%,Easy,66.6635%;,825.8K,1.2M,Y
350,350. Intersection of Two Arrays II,"['Array', 'Hash Table', 'Two Pointers', '2+']",55.90%,Easy,51.6213%;,1M,1.8M,Y
351,351. Android Unlock Patterns,"['Dynamic Programming', 'Backtracking']",51.50%,Medium,15.9149%;,68.8K,133.6K,Y
352,352. Data Stream as Disjoint Intervals,"['Binary Search', 'Design', 'Ordered Set']",59.80%,Hard,67.6876%;,97.8K,163.6K,Y
353,353. Design Snake Game,"['Array', 'Design', 'Queue', '1+']",39.20%,Medium,74.1436%;,72.2K,184.2K,Y
354,354. Russian Doll Envelopes,"['Array', 'Binary Search', '2+']",38.00%,Hard,52.1571%;,185.8K,489.1K,Y
355,355. Design Twitter,"['Hash Table', 'Linked List', 'Design', '1+']",37.20%,Medium,54.2908%;,117.8K,316.4K,Y
356,356. Line Reflection,"['Array', 'Hash Table', 'Math']",34.80%,Medium,70.6067%;,34.4K,99K,Y
357,357. Count Numbers with Unique Digits,"['Math', 'Dynamic Programming', 'Backtracking']",51.80%,Medium,40.8815%;,115.9K,223.7K,Y
358,358. Rearrange String k Distance Apart,"['Hash Table', 'String', 'Greedy', '3+']",37.70%,Hard,28.7601%;,57.4K,152.1K,Y
359,359. Logger Rate Limiter,"['Hash Table', 'Design']",75.60%,Easy,74.5683%;,273K,361K,Y
360,360. Sort Transformed Array,"['Array', 'Math', 'Two Pointers', '1+']",55.00%,Medium,49.6993%;,61.6K,112.1K,Y
361,361. Bomb Enemy,"['Array', 'Dynamic Programming', 'Matrix']",51.30%,Medium,20.2551%;,73.5K,143.4K,Y
362,362. Design Hit Counter,"['Array', 'Hash Table', 'Binary Search', '2+']",68.40%,Medium,77.9034%;,202.2K,295.8K,Y
363,363. Max Sum of Rectangle No Larger Than K,"['Array', 'Binary Search', 'Matrix', '2+']",44.00%,Hard,54.3914%;,118.1K,268.2K,Y
364,364. Nested List Weight Sum II,"['Stack', 'Depth-First Search', '1+']",66.60%,Medium,32.997%;,128.9K,193.6K,Y
365,365. Water and Jug Problem,"['Math', 'Depth-First Search', '1+']",37.40%,Medium,74.2341%;,78.5K,209.9K,Y
366,366. Find Leaves of Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",80.30%,Medium,64.9256%;,234.7K,292.3K,Y
367,367. Valid Perfect Square,"['Math', 'Binary Search']",43.30%,Easy,50.5134%;,468.8K,1.1M,Y
368,368. Largest Divisible Subset,"['Array', 'Math', 'Dynamic Programming', '1+']",41.50%,Medium,60.6986%;,175.6K,423.3K,Y
369,369. Plus One Linked List,"['Linked List', 'Math']",61.00%,Medium,17.3991%;,74K,121.3K,Y
370,370. Range Addition,"['Array', 'Prefix Sum']",71.10%,Medium,51.8888%;,85.9K,120.8K,Y
371,371. Sum of Two Integers,"['Math', 'Bit Manipulation']",50.70%,Medium,56.641%;,372.7K,735.2K,Y
372,372. Super Pow,"['Math', 'Divide and Conquer']",36.40%,Medium,35.1004%;,58K,159.2K,Y
373,373. Find K Pairs with Smallest Sums,"['Array', 'Heap (Priority Queue)']",38.30%,Medium,40.8685%;,195.3K,510.6K,Y
374,374. Guess Number Higher or Lower,"['Binary Search', 'Interactive']",51.80%,Easy,65.1467%;,478.7K,924.6K,Y
375,375. Guess Number Higher or Lower II,"['Math', 'Dynamic Programming', 'Game Theory']",46.80%,Medium,32.9595%;,104.2K,222.5K,Y
376,376. Wiggle Subsequence,"['Array', 'Dynamic Programming', 'Greedy']",48.30%,Medium,20.2095%;,217.1K,449.3K,Y
377,377. Combination Sum IV,"['Array', 'Dynamic Programming']",52.20%,Medium,28.14%;,351.3K,673.3K,Y
378,378. Kth Smallest Element in a Sorted Matrix,"['Array', 'Binary Search', 'Sorting', '2+']",61.80%,Medium,32.3564%;,526.7K,852.8K,Y
379,379. Design Phone Directory,"['Array', 'Hash Table', 'Linked List', '2+']",51.20%,Medium,31.2883%;,61.2K,119.7K,Y
380,380. Insert Delete GetRandom O(1),"['Array', 'Hash Table', 'Math', '2+']",52.80%,Medium,93.2644%;,611.9K,1.2M,Y
381,381. Insert Delete GetRandom O(1) - Duplicates allowed,"['Array', 'Hash Table', 'Math', '2+']",35.50%,Hard,49.4591%;,125.4K,353K,Y
382,382. Linked List Random Node,"['Linked List', 'Math', 'Reservoir Sampling', '1+']",62.80%,Medium,45.6466%;,222.2K,354.1K,Y
383,383. Ransom Note,"['Hash Table', 'String', 'Counting']",58.20%,Easy,60.225%;,721.3K,1.2M,Y
384,384. Shuffle an Array,"['Array', 'Math', 'Randomized']",57.80%,Medium,47.2348%;,300.5K,519.7K,Y
385,385. Mini Parser,"['String', 'Stack', 'Depth-First Search']",36.90%,Medium,13.1068%;,51.9K,140.7K,Y
386,386. Lexicographical Numbers,"['Depth-First Search', 'Trie']",61.50%,Medium,52.0145%;,99.7K,162.1K,Y
387,387. First Unique Character in a String,"['Hash Table', 'String', 'Queue', '1+']",59.50%,Easy,70.7727%;,1.4M,2.3M,Y
388,388. Longest Absolute File Path,"['String', 'Stack', 'Depth-First Search']",46.60%,Medium,15.5467%;,141.1K,302.4K,Y
389,389. Find the Difference,"['Hash Table', 'String', 'Bit Manipulation', '1+']",60.00%,Easy,38.1402%;,483.1K,805.7K,Y
390,390. Elimination Game,"['Math', 'Recursion']",46.20%,Medium,61.8318%;,56.6K,122.6K,Y
391,391. Perfect Rectangle,"['Array', 'Line Sweep']",32.80%,Hard,21.4467%;,38.8K,118.4K,Y
392,392. Is Subsequence,"['Two Pointers', 'String', 'Dynamic Programming']",47.70%,Easy,56.3711%;,793.5K,1.7M,Y
393,393. UTF-8 Validation,"['Array', 'Bit Manipulation']",45.10%,Medium,59.2271%;,116.2K,257.8K,Y
394,394. Decode String,"['String', 'Stack', 'Recursion']",57.90%,Medium,86.1733%;,625.6K,1.1M,Y
395,395. Longest Substring with At Least K Repeating Characters,"['Hash Table', 'String', 'Divide and Conquer', '1+']",44.80%,Medium,58.9003%;,185K,413.2K,Y
396,396. Rotate Function,"['Array', 'Math', 'Dynamic Programming']",41.10%,Medium,68.8623%;,72.5K,176.5K,Y
397,397. Integer Replacement,"['Dynamic Programming', 'Greedy', '2+']",35.20%,Medium,32.6173%;,96.6K,274.7K,Y
398,398. Random Pick Index,"['Hash Table', 'Math', 'Reservoir Sampling', '1+']",62.50%,Medium,9.53115%;,187.7K,300.1K,Y
399,399. Evaluate Division,"['Array', 'Depth-First Search', '4+']",59.60%,Medium,71.2624%;,329.1K,551.8K,Y
400,400. Nth Digit,"['Math', 'Binary Search']",34.10%,Medium,48.8189%;,84K,246.3K,Y
401,401. Binary Watch,"['Backtracking', 'Bit Manipulation']",52.20%,Easy,34.9923%;,123K,235.7K,Y
402,402. Remove K Digits,"['String', 'Stack', 'Greedy', '1+']",30.60%,Medium,57.6132%;,303.1K,992K,Y
403,403. Frog Jump,"['Array', 'Dynamic Programming']",43.10%,Hard,54.4084%;,177.6K,411.6K,Y
404,404. Sum of Left Leaves,"['Tree', 'Depth-First Search', '2+']",56.70%,Easy,32.4075%;,425.8K,751.5K,Y
405,405. Convert a Number to Hexadecimal,"['Math', 'Bit Manipulation']",46.70%,Easy,38.5046%;,117.7K,252.1K,Y
406,406. Queue Reconstruction by Height,"['Array', 'Greedy', 'Binary Indexed Tree', '2+']",72.90%,Medium,43.1598%;,280.1K,384.1K,Y
407,407. Trapping Rain Water II,"['Array', 'Breadth-First Search', '2+']",47.60%,Hard,52.4763%;,78.1K,164.2K,Y
408,408. Valid Word Abbreviation,"['Two Pointers', 'String']",34.80%,Easy,38.7718%;,117.8K,338.1K,Y
409,409. Longest Palindrome,"['Hash Table', 'String', 'Greedy']",54.20%,Easy,42.4855%;,488.5K,900.5K,Y
410,410. Split Array Largest Sum,"['Array', 'Binary Search', '2+']",53.50%,Hard,69.0023%;,257K,480.3K,Y
411,411. Minimum Unique Word Abbreviation,"['String', 'Backtracking', 'Bit Manipulation']",39.40%,Hard,40.3369%;,14.2K,36K,Y
412,412. Fizz Buzz,"['Math', 'String', 'Simulation']",69.80%,Easy,94.3133%;,918.9K,1.3M,Y
413,413. Arithmetic Slices,"['Array', 'Dynamic Programming']",65.10%,Medium,53.3137%;,269.9K,414.7K,Y
414,414. Third Maximum Number,"['Array', 'Sorting']",33.10%,Easy,37.6517%;,416.7K,1.3M,Y
415,415. Add Strings,"['Math', 'String', 'Simulation']",52.50%,Easy,54.2003%;,556.3K,1.1M,Y
416,416. Partition Equal Subset Sum,"['Array', 'Dynamic Programming']",46.30%,Medium,60.5605%;,602.7K,1.3M,Y
417,417. Pacific Atlantic Water Flow,"['Array', 'Depth-First Search', '2+']",54.40%,Medium,50.0053%;,346.6K,637.1K,Y
418,418. Sentence Screen Fitting,"['String', 'Dynamic Programming', 'Simulation']",35.60%,Medium,36.1283%;,92.5K,259.6K,Y
419,419. Battleships in a Board,"['Array', 'Depth-First Search', 'Matrix']",74.80%,Medium,64.2528%;,179K,239.2K,Y
420,420. Strong Password Checker,"['String', 'Greedy', 'Heap (Priority Queue)']",13.80%,Hard,50.332%;,31.4K,227.9K,Y
421,421. Maximum XOR of Two Numbers in an Array,"['Array', 'Hash Table', 'Bit Manipulation', '1+']",54.10%,Medium,54.2759%;,138.7K,256.4K,Y
422,422. Valid Word Square,"['Array', 'Matrix']",39.90%,Easy,3.84757%;,49K,122.8K,Y
423,423. Reconstruct Original Digits from English,"['Hash Table', 'Math', 'String']",51.30%,Medium,57.8198%;,71.5K,139.5K,Y
424,424. Longest Repeating Character Replacement,"['Hash Table', 'String', 'Sliding Window']",51.90%,Medium,65.4677%;,424.2K,818K,Y
425,425. Word Squares,"['Array', 'String', 'Backtracking', '1+']",52.80%,Hard,20.0096%;,69.2K,131.2K,Y
426,426. Convert Binary Search Tree to Sorted Doubly Linked List,"['Linked List', 'Stack', 'Tree', '4+']",64.60%,Medium,38.4091%;,233.7K,361.6K,Y
427,427. Construct Quad Tree,"['Array', 'Divide and Conquer', 'Tree', '1+']",74.50%,Medium,73.9266%;,92.7K,124.4K,Y
